Date,MSFT,GOOG,AAPL,META,AMZN,NFLX
04/06/2023,$283.21,$105.77,$162.43,$209.25,$100.75,$339.34
04/05/2023,$285.85,$106.12,$164.74,$214.15,$103.91,$345.30
04/04/2023,$287.23,$104.84,$166.595,$213.39,$102.75,$348.49
04/03/2023,$286.52,$102.67,$164.27,$208.84,$102.30,$341.83
03/31/2023,$283.73,$101.71,$162.44,$207.24,$102.16,$340.05
03/30/2023,$284.23,$101.44,$161.53,$203.38,$101.55,$340.27
03/29/2023,$278.96,$102.72,$159.37,$203.56,$98.69,$326.29
03/28/2023,$275.79,$103.00,$157.97,$200.15,$98.11,$326.06
03/27/2023,$280.50,$105.32,$159.94,$204.81,$99.07,$327.55
03/24/2023,$277.24,$105.74,$158.86,$205.18,$98.065,$320.63
03/23/2023,$277.94,$105.89,$158.83,$202.84,$100.43,$304.68
03/22/2023,$273.40,$105.14,$159.30,$202.50,$100.45,$306.31
03/21/2023,$274.88,$101.98,$157.32,$203.20,$98.14,$306.32
03/20/2023,$276.98,$101.06,$155.07,$198.48,$98.41,$299.79
03/17/2023,$278.26,$100.84,$156.08,$200.56,$99.79,$310.06
03/16/2023,$265.205,$96.57,$152.16,$198.26,$95.75,$304.75
03/15/2023,$259.98,$93.54,$151.19,$192.95,$93.22,$292.51
03/14/2023,$256.75,$93.07,$151.28,$187.58,$93.83,$295.97
03/13/2023,$247.40,$90.565,$147.805,$177.96,$89.97,$287.34
03/10/2023,$251.08,$92.50,$150.21,$181.01,$92.67,$297.905
03/09/2023,$255.82,$94.49,$153.559,$186.35,$93.68,$312.08
03/08/2023,$254.04,$94.405,$152.81,$182.87,$93.60,$309.29
03/07/2023,$256.30,$95.42,$153.70,$189.00,$94.06,$312.675
03/06/2023,$256.425,$94.36,$153.785,$188.00,$95.19,$317.00
03/03/2023,$252.19,$92.74,$148.045,$178.92,$92.74,$315.45
03/02/2023,$246.55,$89.86,$144.38,$172.38,$91.41,$310.96
03/01/2023,$250.76,$90.16,$146.83,$174.59,$93.87,$321.55
02/28/2023,$249.07,$89.54,$147.05,$171.90,$93.14,$323.70
02/27/2023,$252.46,$90.09,$147.71,$171.875,$94.28,$323.87
02/24/2023,$249.96,$89.63,$147.11,$168.64,$93.53,$319.30
02/23/2023,$255.56,$92.13,$150.09,$172.00,$96.12,$331.23
02/22/2023,$254.09,$91.934,$148.87,$171.07,$95.10,$337.50
02/21/2023,$254.48,$93.24,$150.20,$174.31,$95.335,$342.85
02/17/2023,$259.39,$95.07,$152.35,$170.22,$97.80,$347.905
02/16/2023,$264.02,$95.54,$153.51,$172.75,$99.21,$355.00
02/15/2023,$268.32,$94.74,$153.11,$176.415,$99.09,$356.63
02/14/2023,$272.67,$94.66,$152.12,$177.16,$98.41,$357.55
02/13/2023,$267.64,$95.01,$150.952,$178.215,$97.85,$349.50
02/10/2023,$261.53,$95.74,$149.46,$176.353,$97.56,$359.16
02/09/2023,$273.80,$100.54,$153.775,$186.13,$101.32,$372.41
02/08/2023,$273.20,$102.69,$153.88,$190.00,$102.04,$360.02
02/07/2023,$260.53,$103.63,$150.64,$185.575,$101.17,$358.51
02/06/2023,$257.44,$102.685,$152.575,$186.53,$102.925,$363.642
02/03/2023,$259.542,$103.51,$148.03,$183.465,$105.26,$359.08
02/02/2023,$258.82,$106.79,$148.90,$183.38,$110.245,$365.16
02/01/2023,$248.00,$99.74,$143.97,$148.03,$102.53,$353.86
01/31/2023,$243.45,$97.86,$142.70,$147.95,$101.155,$349.98
01/30/2023,$244.51,$98.745,$144.955,$149.405,$101.09,$358.44
01/27/2023,$248.99,$99.05,$143.155,$148.237,$99.53,$363.20
01/26/2023,$243.65,$98.28,$143.17,$144.40,$98.235,$368.77
01/25/2023,$234.48,$97.20,$140.89,$141.22,$92.56,$360.57
01/24/2023,$242.50,$99.55,$140.305,$141.69,$96.93,$357.53
01/23/2023,$241.10,$99.13,$138.12,$139.29,$97.56,$341.715
01/20/2023,$234.855,$95.95,$135.28,$135.89,$93.86,$336.79
01/19/2023,$233.78,$91.39,$134.08,$132.49,$94.74,$322.57
01/18/2023,$241.565,$92.94,$136.815,$135.81,$97.25,$326.75
01/17/2023,$237.97,$92.78,$134.83,$136.176,$98.68,$331.08
01/13/2023,$237.002,$91.528,$132.03,$134.97,$94.18,$329.97
01/12/2023,$235.26,$92.40,$133.88,$133.44,$96.93,$332.50
01/11/2023,$231.29,$90.06,$131.25,$130.96,$90.93,$326.50
01/10/2023,$227.755,$86.72,$130.26,$127.27,$87.57,$311.07
01/09/2023,$226.45,$89.195,$130.465,$131.16,$87.46,$316.83
01/06/2023,$223.00,$87.36,$126.01,$128.97,$83.03,$311.57
01/05/2023,$227.20,$88.07,$127.13,$126.125,$85.33,$307.00
01/04/2023,$232.275,$91.01,$126.89,$127.38,$86.55,$298.24
01/03/2023,$243.08,$89.83,$130.28,$122.82,$85.46,$298.06
12/30/2022,$238.21,$87.365,$128.41,$118.16,$83.12,$285.53
12/29/2022,$235.65,$87.03,$127.99,$116.40,$82.87,$283.18
12/28/2022,$236.89,$87.50,$129.67,$116.25,$82.80,$281.92
12/27/2022,$238.70,$89.31,$131.38,$117.93,$84.97,$293.19
12/23/2022,$236.11,$87.62,$130.92,$116.03,$83.25,$296.18
12/22/2022,$241.255,$88.93,$134.352,$117.20,$85.52,$298.09
12/21/2022,$241.69,$89.73,$132.98,$116.70,$86.175,$289.99
12/20/2022,$239.40,$88.73,$131.39,$113.26,$85.33,$281.24
